index,SKU,BANK_NAME,MTG_PRODUCT_SUBTITLE,MTG_PRODUCT_TYPE_RAW,MTG_PRODUCT_TYPE,MTG_PRODUCT_YEARS,MTG_INITIAL_RATE_PCT,MTG_APR_PCT,MTG_REVERT_RATE,MTG_FEES_TOTAL,MTG_INITIAL_RATE_MONTHS,SCAN_DATE,TID
6397,3480293,The Mansfield Building Society,First time buyer,2 year discounted,discounted,25,5.03,6.6,6.59,1639.0,24,2022-10-16 06:42:26,489581
6398,3730846,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,5.04,7.1,7.24,1340.0,24,2022-10-16 06:42:26,489582
6399,3735422,Nationwide Building Society,First time buyer,10 year fixed,fixed,25,5.09,5.5,5.74,999.0,120,2022-10-16 06:42:26,489583
6400,3331371,Hanley Economic Building Society,First time buyer,2 year discounted,discounted,25,5.14,5.8,5.69,1399.0,24,2022-10-16 06:42:26,489584
6401,3726479,Loughborough Building Society,First time buyer,2 year discounted,discounted,25,5.15,5.9,5.89,115.0,24,2022-10-16 06:42:26,489585
6402,3730833,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,5.19,7.2,7.24,1840.0,24,2022-10-16 06:42:26,489586
6403,3029849,Swansea Building Society,First time buyer,2 year variable,variable,25,5.2,4.6,4.15,2374.0,24,2022-10-16 06:42:26,489587
6404,3029853,Swansea Building Society,First time buyer,Lifetime variable,variable,25,5.2,5.5,,2374.0,300,2022-10-16 06:42:26,489588
6405,3730837,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,5.24,7.1,7.24,1340.0,24,2022-10-16 06:42:26,489589
6406,3424525,Teachers Building Society,First time buyer,2 year discounted,discounted,25,5.3,6.6,6.69,100.0,24,2022-10-16 06:42:26,489590
6407,3735397,Nationwide Building Society,First time buyer,5 year fixed,fixed,25,5.39,5.8,5.74,999.0,60,2022-10-16 06:42:26,489591
6408,3735518,Nationwide Building Society,First time buyer,10 year fixed,fixed,25,5.39,5.6,5.74,0.0,120,2022-10-16 06:42:26,489592
6409,3113764,Teachers Building Society,First time buyer,2 year discounted,discounted,25,5.44,6.7,6.69,309.0,24,2022-10-16 06:42:26,489593
6410,3735773,Nationwide Building Society,First time buyer,5 year fixed,fixed,25,5.44,5.8,5.74,999.0,60,2022-10-16 06:42:26,489594
6411,3745451,NatWest,First time buyer,5 year fixed,fixed,25,5.44,5.4,4.99,1025.0,64,2022-10-16 06:42:26,489595
6412,3746226,RBS,First time buyer,5 year fixed,fixed,25,5.44,5.4,4.99,1025.0,64,2022-10-16 06:42:26,489596
6413,3746968,Leeds Building Society,First time buyer,5 year fixed,fixed,25,5.47,5.9,5.99,234.0,62,2022-10-16 06:42:26,489597
6414,3754601,Platform,First time buyer,5 year fixed,fixed,25,5.47,5.7,5.49,1549.0,63,2022-10-16 06:42:26,489598
6415,3755273,HSBC,First time buyer,5 year fixed,fixed,25,5.48,5.4,5.04,1016.0,65,2022-10-16 06:42:26,489599
6416,3754248,Vida Homeloans,First time buyer,2 year variable,variable,25,5.49,6.5,6.44,1515.0,24,2022-10-16 06:42:26,489600
6417,3745409,NatWest,First time buyer,5 year fixed,fixed,25,5.49,5.4,4.99,1025.0,64,2022-10-16 06:42:26,489601
6418,3746184,RBS,First time buyer,5 year fixed,fixed,25,5.49,5.4,4.99,1025.0,64,2022-10-16 06:42:26,489602
6419,3757521,Virgin Money,First time buyer,5 year fixed,fixed,25,5.49,5.6,5.49,1300.0,63,2022-10-16 06:42:26,489603
6420,3754604,Platform,First time buyer,5 year fixed,fixed,25,5.52,5.7,5.49,1049.0,63,2022-10-16 06:42:26,489604
6421,3755474,Virgin Money,First time buyer,5 year fixed,fixed,25,5.54,5.6,5.49,1300.0,63,2022-10-16 06:42:26,489605
6422,3754920,Platform,First time buyer,5 year fixed,fixed,25,5.55,5.7,5.49,1049.0,63,2022-10-16 06:42:26,489606
6423,3745453,NatWest,First time buyer,5 year fixed,fixed,25,5.59,5.5,4.99,1025.0,64,2022-10-16 06:42:26,489607
6424,3746228,RBS,First time buyer,5 year fixed,fixed,25,5.59,5.5,4.99,1025.0,64,2022-10-16 06:42:26,489608
6425,3754605,Platform,First time buyer,5 year fixed,fixed,25,5.6,5.8,5.49,1049.0,63,2022-10-16 06:42:26,489609
6426,3754962,Kensington Mortgages,First time buyer,Lifetime fixed,fixed,25,5.6,5.9,,1907.0,300,2022-10-16 06:42:26,489610
6427,3746831,Leeds Building Society,First time buyer,5 year fixed,fixed,25,5.62,6.0,5.99,234.0,62,2022-10-16 06:42:26,489611
6428,3754921,Platform,First time buyer,5 year fixed,fixed,25,5.63,5.8,5.49,1049.0,63,2022-10-16 06:42:26,489612
6429,3755246,HSBC,First time buyer,5 year fixed,fixed,25,5.63,5.5,5.04,1016.0,65,2022-10-16 06:42:26,489613
6430,3747468,Bank of Ireland UK,First time buyer,2 year fixed,fixed,25,5.64,5.8,5.59,1565.0,26,2022-10-16 06:42:26,489614
6431,3754249,Vida Homeloans,First time buyer,2 year variable,variable,25,5.64,6.6,6.44,1515.0,24,2022-10-16 06:42:26,489615
6432,3735493,Nationwide Building Society,First time buyer,5 year fixed,fixed,25,5.64,5.8,5.74,0.0,60,2022-10-16 06:42:26,489616
6433,3745443,NatWest,First time buyer,5 year fixed,fixed,25,5.64,5.5,4.99,1025.0,64,2022-10-16 06:42:26,489617
6434,3746218,RBS,First time buyer,5 year fixed,fixed,25,5.64,5.5,4.99,1025.0,64,2022-10-16 06:42:26,489618
6435,3755107,Virgin Money,First time buyer,5 year fixed,fixed,25,5.64,5.7,5.49,1300.0,63,2022-10-16 06:42:26,489619
6436,3621668,Bank of China,First time buyer,Lifetime tracker,tracker,25,5.64,5.9,,1761.0,300,2022-10-16 06:42:26,489620
6437,3747533,Barclays,First time buyer,10 year fixed,fixed,25,5.65,5.9,5.74,1114.0,121,2022-10-16 06:42:26,489621
6438,3754613,Platform,First time buyer,5 year fixed,fixed,25,5.66,5.8,5.49,1549.0,63,2022-10-16 06:42:26,489622
6439,1000716526,Santander,First time buyer,2 year tracker,tracker,25,5.69,5.7,5.5,35.0,24,2022-10-16 06:42:26,489623
6440,3735785,Nationwide Building Society,First time buyer,5 year fixed,fixed,25,5.69,5.9,5.74,0.0,60,2022-10-16 06:42:26,489624
6441,3755270,HSBC,First time buyer,5 year fixed,fixed,25,5.69,5.5,5.04,17.0,65,2022-10-16 06:42:26,489625
6442,3755049,Virgin Money,First time buyer,5 year fixed,fixed,25,5.69,5.7,5.49,1300.0,63,2022-10-16 06:42:26,489626
6443,3747838,Nottingham Building Society,First time buyer,2 year fixed,fixed,25,5.7,5.3,4.99,1024.0,26,2022-10-16 06:42:26,489627
6444,3739176,Coventry Building Society,First time buyer,5 year fixed,fixed,25,5.7,5.4,4.89,8.0,66,2022-10-16 06:42:26,489628
6445,3746830,Leeds Building Society,First time buyer,5 year fixed,fixed,25,5.7,6.0,5.99,234.0,62,2022-10-16 06:42:26,489629
6446,3754616,Platform,First time buyer,5 year fixed,fixed,25,5.71,5.8,5.49,1049.0,63,2022-10-16 06:42:26,489630
6447,1000716501,Santander,First time buyer,2 year tracker,tracker,25,5.74,5.7,5.5,35.0,24,2022-10-16 06:42:26,489631
6448,3757520,Virgin Money,First time buyer,2 year fixed,fixed,25,5.74,5.7,5.49,1300.0,27,2022-10-16 06:42:26,489632
6449,3754607,Platform,First time buyer,5 year fixed,fixed,25,5.74,5.7,5.49,50.0,63,2022-10-16 06:42:26,489633
6450,3755243,HSBC,First time buyer,5 year fixed,fixed,25,5.74,5.5,5.04,17.0,65,2022-10-16 06:42:26,489634
6451,3745410,NatWest,First time buyer,5 year fixed,fixed,25,5.74,5.5,4.99,30.0,64,2022-10-16 06:42:26,489635
6452,3746185,RBS,First time buyer,5 year fixed,fixed,25,5.74,5.5,4.99,30.0,64,2022-10-16 06:42:26,489636
6453,3747465,Bank of Ireland UK,First time buyer,5 year fixed,fixed,25,5.74,5.9,5.59,1205.0,62,2022-10-16 06:42:26,489637
6454,3195827,Darlington Building Society,First time buyer,Lifetime variable,variable,25,5.74,5.9,,445.0,300,2022-10-16 06:42:26,489638
6455,3747535,Barclays,First time buyer,2 year fixed,fixed,25,5.75,5.9,5.74,115.0,25,2022-10-16 06:42:26,489639
6456,3754617,Platform,First time buyer,5 year fixed,fixed,25,5.76,5.8,5.49,1049.0,63,2022-10-16 06:42:26,489640
6457,3745031,Clydesdale Bank,First time buyer,5 year fixed,fixed,25,5.76,6.2,5.99,1934.0,62,2022-10-16 06:42:26,489641
6458,3745068,Yorkshire Bank,First time buyer,5 year fixed,fixed,25,5.76,6.2,5.99,1934.0,62,2022-10-16 06:42:26,489642
6459,3747534,Barclays,First time buyer,10 year fixed,fixed,25,5.76,6.0,5.74,1114.0,121,2022-10-16 06:42:26,489643
6460,3754922,Platform,First time buyer,5 year fixed,fixed,25,5.77,5.8,5.49,50.0,63,2022-10-16 06:42:26,489644
6461,3730469,HSBC,First time buyer,2 year fixed,fixed,25,5.79,5.4,5.04,1016.0,29,2022-10-16 06:42:26,489645
6462,3755473,Virgin Money,First time buyer,2 year fixed,fixed,25,5.79,5.7,5.49,1300.0,27,2022-10-16 06:42:26,489646
6463,3754250,Vida Homeloans,First time buyer,2 year variable,variable,25,5.79,6.6,6.44,1515.0,24,2022-10-16 06:42:26,489647
6464,3755244,HSBC,First time buyer,5 year fixed,fixed,25,5.79,5.5,5.04,17.0,65,2022-10-16 06:42:26,489648
6465,3755472,Virgin Money,First time buyer,5 year fixed,fixed,25,5.79,5.7,5.49,305.0,63,2022-10-16 06:42:26,489649
6466,3747775,Leeds Building Society,First time buyer,5 year fixed,fixed,25,5.79,6.1,5.99,1233.0,62,2022-10-16 06:42:26,489650
6467,3745032,Clydesdale Bank,First time buyer,5 year fixed,fixed,25,5.79,6.2,5.99,1934.0,62,2022-10-16 06:42:26,489651
6468,3745069,Yorkshire Bank,First time buyer,5 year fixed,fixed,25,5.79,6.2,5.99,1934.0,62,2022-10-16 06:42:26,489652
6469,3747780,TSB,First time buyer,10 year fixed,fixed,25,5.79,5.7,4.74,995.0,121,2022-10-16 06:42:26,489653
6470,3748003,TSB,First time buyer,10 year fixed,fixed,25,5.79,6.0,5.74,995.0,121,2022-10-16 06:42:26,489654
6471,3747484,Coventry Building Society,First time buyer,5 year fixed,fixed,25,5.8,5.4,4.89,8.0,66,2022-10-16 06:42:26,489655
6472,3754916,Platform,First time buyer,5 year fixed,fixed,25,5.81,5.9,5.49,1049.0,63,2022-10-16 06:42:26,489656
6473,3748563,Skipton Building Society,First time buyer,5 year fixed,fixed,25,5.81,5.5,4.89,1110.0,63,2022-10-16 06:42:26,489657
6474,3754608,Platform,First time buyer,5 year fixed,fixed,25,5.82,5.8,5.49,50.0,63,2022-10-16 06:42:26,489658
6475,3754640,Yorkshire Building Society,First time buyer,5 year fixed,fixed,25,5.83,5.8,5.39,1495.0,64,2022-10-16 06:42:26,489659
6476,3754964,Kensington Mortgages,First time buyer,Lifetime fixed,fixed,25,5.83,6.1,,1907.0,300,2022-10-16 06:42:26,489660
6477,3730470,HSBC,First time buyer,2 year fixed,fixed,25,5.84,5.4,5.04,1016.0,29,2022-10-16 06:42:26,489661
6478,3742437,Bank of Ireland UK,First time buyer,5 year fixed,fixed,25,5.84,5.9,5.59,210.0,62,2022-10-16 06:42:26,489662
6479,3755245,HSBC,First time buyer,5 year fixed,fixed,25,5.84,5.5,5.04,17.0,65,2022-10-16 06:42:26,489663
6480,3754923,Platform,First time buyer,5 year fixed,fixed,25,5.85,5.8,5.49,50.0,63,2022-10-16 06:42:26,489664
6481,3744758,Skipton Building Society,First time buyer,5 year fixed,fixed,25,5.85,5.5,4.89,1110.0,63,2022-10-16 06:42:26,489665
6482,3747841,Nottingham Building Society,First time buyer,5 year fixed,fixed,25,5.85,5.6,4.99,1024.0,62,2022-10-16 06:42:26,489666
6483,3754618,Platform,First time buyer,5 year fixed,fixed,25,5.86,5.9,5.49,1049.0,63,2022-10-16 06:42:26,489667
6484,3755423,HSBC,First time buyer,5 year fixed,fixed,25,5.88,5.6,5.04,999.0,65,2022-10-16 06:42:26,489668
6485,3755058,Virgin Money,First time buyer,5 year fixed,fixed,25,5.88,5.8,5.49,1300.0,63,2022-10-16 06:42:26,489669
6486,3747865,Bank of Ireland UK,First time buyer,2 year fixed,fixed,25,5.89,5.8,5.59,210.0,26,2022-10-16 06:42:26,489670
6487,3735347,Nationwide Building Society,First time buyer,2 year fixed,fixed,25,5.89,6.0,5.74,999.0,24,2022-10-16 06:42:26,489671
6488,3747837,Nottingham Building Society,First time buyer,2 year fixed,fixed,25,5.89,5.4,4.99,1024.0,26,2022-10-16 06:42:26,489672
6489,3747512,Coventry Building Society,First time buyer,3 year fixed,fixed,25,5.89,5.3,4.89,8.0,42,2022-10-16 06:42:26,489673
